antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_name
frozenset({'in-store promo'}),frozenset({'Sugarfree'}),0.20848938826466917,0.36953807740324596,0.08531002913025384,0.4091816367265469,1.1072786858715002,1.0,0.008265261431949125,1.0670994027735599,0.12240517042394379,0.17314189189189186,0.06288018023359218,0.32001874629120136,['in-store promo']->['Sugarfree']
frozenset({'TH-NORTH'}),frozenset({'Sugarfree'}),0.20016645859342488,0.36953807740324596,0.07865168539325842,0.3929313929313929,1.0633042085744786,1.0,0.00468255712402775,1.038534879346023,0.07443469930462634,0.16016949152542373,0.03710504106543703,0.30288461538461536,['TH-NORTH']->['Sugarfree']
frozenset({'f1 sponsorship'}),frozenset({'Tropical Edition'}),0.19101123595505617,0.28714107365792757,0.05742821473158552,0.30065359477124187,1.047058823529412,1.0,0.0025810433587229523,1.019321642339599,0.05555555555555572,0.1364985163204748,0.018955393015349837,0.2503267973856209,['f1 sponsorship']->['Tropical Edition']
frozenset({'TH-CENTRAL'}),frozenset({'Sugarfree'}),0.2093216812317936,0.36953807740324596,0.07865168539325842,0.37574552683896617,1.01679786147977,1.0,0.0012993537520463033,1.009943780465501,0.020893901420217048,0.15723793677204656,0.009845875243587904,0.29429168233840197,['TH-CENTRAL']->['Sugarfree']
